Timestamp (ms),Humidity (%),Temperature (°F),Temperature (°C)
722000,46.09,78.18,25.66
724000,44.72,77.16,25.09
726000,44.65,77.02,25.01
728000,45.76,76.59,24.77
730000,47.58,77.74,25.41
732000,42.31,77.21,25.12
734000,44.02,76.29,24.61
736000,44.07,76.73,24.85
738000,46.56,75.64,24.24
740000,42.8,75.5,24.17
742000,42.56,77.03,25.02
744000,42.96,76.33,24.63
746000,45.35,77.6,25.33
748000,42.51,77.33,25.18
750000,42.86,76.57,24.76
752000,44.35,76.82,24.90
754000,43.82,76.21,24.56
756000,47.24,77.49,25.27
758000,44.6,76.58,24.77
760000,45.24,76.78,24.88
762000,44.52,77.08,25.04
764000,43.72,78.83,26.02
766000,44.3,76.29,24.61
768000,44.28,78.34,25.74
770000,44.09,75.89,24.38
772000,43.26,75.55,24.19
774000,42.81,76.19,24.55
776000,43.44,77.62,25.34
778000,43.65,78.9,26.06
780000,47.38,77.01,25.01
782000,45.59,75.5,24.17
784000,44.71,77.27,25.15
786000,44.66,76.91,24.95
788000,43.43,76.71,24.84
790000,41.96,77.31,25.17
792000,47.92,79,26.11
794000,43.61,78.17,25.65
796000,45.07,77.84,25.47
798000,45.87,77.38,25.21
800000,44.31,77.3,25.17
802000,45.66,76.39,24.66
804000,46.94,76.47,24.71
806000,48.4,74.07,23.37
808000,44.96,78.34,25.74
810000,43.78,78.29,25.72
812000,48.96,79.04,26.13
814000,45.1,76.58,24.77
816000,44.57,76.15,24.53
818000,44.99,77.99,25.55
820000,43.01,77.47,25.26
822000,45.82,75.55,24.19
824000,44.42,76.68,24.82
826000,45.42,77.91,25.51
828000,45.42,77.5,25.28
830000,43.76,77.69,25.38
832000,41.85,78.36,25.76
834000,46.55,78.06,25.59
836000,44.17,76.52,24.73
838000,46.56,77.89,25.49
840000,45.96,75.05,23.92
842000,44.6,76,24.44
844000,45.29,77.33,25.18
846000,43.97,77.39,25.22
848000,43.79,75.93,24.41
850000,46.83,77.16,25.09
852000,42.51,77.19,25.11
854000,49.7,76.43,24.68
856000,43.09,78.17,25.65
858000,44.65,77.74,25.41
860000,45.04,76.53,24.74
862000,41.74,75.59,24.22
864000,45.06,76.17,24.54
866000,44.96,78.46,25.81
868000,42.49,76.95,24.97
870000,45.01,77.14,25.08
872000,45.37,76.59,24.77
874000,44.53,75.87,24.37
876000,44.76,77.65,25.36
878000,47.47,78,25.56
880000,43.95,76.23,24.57
882000,43.78,76.49,24.72
884000,43.07,77.98,25.54
886000,42.87,75.6,24.22
888000,43.72,77.28,25.16
890000,44.67,77.33,25.18
892000,47.29,77.59,25.33
894000,48.42,76.53,24.74
896000,44.41,76.47,24.71
898000,45.03,77.09,25.05
900000,43,77.21,25.12
902000,41.55,78.05,25.58
904000,46.47,78.44,25.80
906000,45.17,78.55,25.86
908000,45.56,75.36,24.09
910000,43.45,76,24.44
912000,44.44,77.42,25.23
914000,42.82,76.45,24.69
916000,43.3,78.17,25.65
918000,45.12,77.51,25.28
920000,47,75.97,24.43
922000,44.43,77.04,25.02
924000,42.05,78,25.56
926000,47.26,76.75,24.86
928000,48.51,76.36,24.64
930000,45.06,77.89,25.49
932000,44.79,77.55,25.31
934000,45.19,77.38,25.21
936000,46.89,77.6,25.33
938000,45.47,76.81,24.89
940000,42.25,75.47,24.15
942000,44.44,76.77,24.87
944000,46.62,77.62,25.34
946000,44.97,76.67,24.82
948000,45.57,78.49,25.83
950000,44.16,75.77,24.32
952000,43.78,77.32,25.18
954000,45.54,76.99,24.99
956000,46.25,77.42,25.23
958000,45.57,77.58,25.32
960000,45,76.63,24.79
962000,43.28,76.93,24.96
964000,44.03,78.07,25.59
966000,45.96,77.42,25.23
968000,44.17,77.48,25.27
970000,44,76.81,24.89
972000,44.58,77.36,25.20
974000,45.29,76.92,24.96
976000,45.48,76.04,24.47
978000,43.38,76.77,24.87
980000,44.54,76.98,24.99
982000,45.94,78.02,25.57
984000,46.44,77.3,25.17
986000,47.55,77.91,25.51
988000,44.02,75.93,24.41
990000,45.53,78.2,25.67
992000,44.67,75.13,23.96
994000,43.12,77.33,25.18
996000,44.61,77.24,25.13
998000,47.66,78.4,25.78
1000000,44.17,76.43,24.68
1002000,45.4,76.59,24.77
1004000,45.78,77.07,25.04
1006000,43.68,75.63,24.24
1008000,43.29,76.99,24.99
1010000,46.49,76.64,24.80
1012000,43.84,77.12,25.07
1014000,42.82,77.78,25.43
1016000,41.91,75.34,24.08
1018000,46.84,78.27,25.71
1020000,44.14,76.64,24.80
1022000,42.48,76.6,24.78
1024000,42.97,77.55,25.31
1026000,43.45,78.01,25.56
1028000,44.78,76.64,24.80
1030000,46.19,78.31,25.73
1032000,46.19,76.4,24.67
1034000,46.73,78.37,25.76
1036000,42.66,76.05,24.47
1038000,46.59,77.62,25.34
1040000,44.02,76.16,24.53
1042000,42.43,77.01,25.01
1044000,44.21,77.86,25.48
1046000,45.88,75.49,24.16
1048000,47.13,77.76,25.42
1050000,46.15,77.06,25.03
1052000,45.26,77.06,25.03
1054000,45.72,76.26,24.59
1056000,47.04,77.79,25.44
1058000,47.15,78.01,25.56
1060000,46.27,75.75,24.31
1062000,45.95,78.65,25.92
1064000,43.21,77.32,25.18
1066000,43.82,76.48,24.71
1068000,45.6,76.91,24.95
1070000,46.14,74.67,23.71
1072000,46.85,77.94,25.52
1074000,43.93,78.3,25.72
1076000,45.25,76.17,24.54
1078000,45.93,77.07,25.04
1080000,44.33,77.17,25.09
1082000,43.76,77.73,25.41
1084000,43.55,77.85,25.47
1086000,45.67,77.41,25.23
1088000,47.79,77.17,25.09
1090000,44.3,76.19,24.55
1092000,43.75,76.18,24.54
1094000,46.55,76.57,24.76
1096000,46.55,77.44,25.24
1098000,44.4,75.57,24.21
1100000,44.68,77.76,25.42
1102000,45.36,78.18,25.66
1104000,45.88,76.24,24.58
1106000,44.85,75.97,24.43
1108000,46.59,76.79,24.88
1110000,46.78,77.92,25.51
1112000,42.75,76.98,24.99
1114000,44.35,77.22,25.12
1116000,44.54,76.94,24.97
1118000,45.97,78.11,25.62
1120000,48.07,76.08,24.49
1122000,48.49,76.72,24.84
1124000,45.39,76.79,24.88
1126000,45,77.5,25.28
1128000,45.32,76,24.44
1130000,46.51,76.52,24.73
1132000,47.32,78.24,25.69
1134000,44.06,77,25.00
1136000,44.66,76.36,24.64
1138000,45.54,75.93,24.41
1140000,46.19,76.8,24.89
1142000,45.08,77.41,25.23
1144000,44.62,77.17,25.09
1146000,42.9,77.79,25.44
1148000,44.11,78.49,25.83
1150000,47.26,77.63,25.35
1152000,43.81,77.13,25.07
1154000,45.81,77.35,25.19
1156000,47.08,76.7,24.83
1158000,44.96,77.83,25.46
1160000,43.07,76.93,24.96
1162000,46.7,77.86,25.48
1164000,44.81,76.69,24.83
1166000,44.46,76.25,24.58
1168000,44.54,77.13,25.07
1170000,44.91,76.17,24.54
1172000,44.08,77.71,25.39
1174000,44.56,76.67,24.82
1176000,44.67,76.62,24.79
1178000,45.24,77.07,25.04
1180000,45.24,76.63,24.79
1182000,46.57,78.27,25.71
1184000,45.09,77.23,25.13
1186000,47.49,78.16,25.64
1188000,43.05,77.07,25.04
1190000,45.39,77.07,25.04
1192000,44.79,77.68,25.38
1194000,44.11,77.63,25.35
1196000,43.16,77.08,25.04
1198000,44.56,75.96,24.42
1200000,42.1,75.99,24.44
1202000,44.27,77.71,25.39
1204000,45.72,78.39,25.77
1206000,44.66,77.23,25.13
1208000,43.59,78.18,25.66
1210000,45.96,76.24,24.58
1212000,46.28,77.02,25.01
1214000,44.5,75.64,24.24
1216000,45.26,77.6,25.33
1218000,44.4,76.32,24.62
1220000,43.64,76.15,24.53
1222000,42.29,77.07,25.04
1224000,44.63,76.08,24.49
1226000,43.97,77.33,25.18
1228000,44.04,78.08,25.60
1230000,45.55,78.16,25.64
1232000,45.33,76.26,24.59
1234000,46.1,76.38,24.66
1236000,44.79,76.33,24.63
1238000,45.73,77.11,25.06
1240000,44.46,77.29,25.16
1242000,45.02,76.57,24.76
1244000,44.55,76.18,24.54
1246000,45.9,77.69,25.38
1248000,45.21,76.98,24.99
1250000,44.14,76.85,24.92
1252000,45.13,78,25.56
1254000,45.48,77.66,25.37
1256000,45.51,76.86,24.92
1258000,46.56,74.96,23.87
1260000,45.38,77.61,25.34
1262000,44.79,77.57,25.32
1264000,45.06,76.19,24.55
1266000,43.27,76.6,24.78
1268000,43.64,77.6,25.33
1270000,43.67,78.63,25.91
1272000,43.17,78.2,25.67
1274000,44.41,77.14,25.08
1276000,42.46,77.77,25.43
1278000,45.98,78.32,25.73
1280000,44.42,77.26,25.14
1282000,45.56,77.96,25.53
1284000,47.4,77.46,25.26
1286000,44.79,77.05,25.03
1288000,44.33,75.27,24.04
1290000,44.18,77.93,25.52
1292000,44.75,77.65,25.36
1294000,47.75,76.74,24.86
1296000,44.35,76.89,24.94
1298000,45.84,77.45,25.25
1300000,44.15,77.17,25.09
1302000,43.14,77.54,25.30
1304000,43.68,77.92,25.51
1306000,45.05,78.05,25.58
1308000,46.52,77.95,25.53
1310000,44.42,75.51,24.17
1312000,45.78,77.53,25.29
1314000,45.26,75.55,24.19
1316000,44.78,77.08,25.04
1318000,42.5,77.69,25.38
1320000,46.62,77.64,25.36
1322000,44.76,77.44,25.24
1324000,45.93,76.37,24.65
1326000,44.29,77.14,25.08
1328000,43.7,77.01,25.01
1330000,45.34,77.23,25.13
1332000,45.72,76.09,24.49
1334000,44.75,77.56,25.31
1336000,43.98,77.73,25.41
1338000,46.74,78.29,25.72
1340000,44.12,77.67,25.37
1342000,46.63,77.8,25.44
1344000,47.72,77.74,25.41
1346000,43.75,77.52,25.29
1348000,44.77,75.67,24.26
1350000,47.22,77.14,25.08
1352000,42.59,75.22,24.01
1354000,45.95,77.69,25.38
1356000,45.5,76.06,24.48
1358000,42.72,78.84,26.02
1360000,47.61,77.28,25.16
1362000,44.16,75.47,24.15
1364000,44.89,77.98,25.54
1366000,46.33,75.93,24.41
1368000,45.77,75.76,24.31
1370000,47.78,78.72,25.96
1372000,45.89,76.08,24.49
1374000,45.71,76.63,24.79
1376000,44.59,77.82,25.46
1378000,45.33,77.47,25.26
1380000,45.57,76.96,24.98
1382000,43.32,77.54,25.30
1384000,46.4,75.82,24.34
1386000,46.71,76.71,24.84
1388000,46.62,76.46,24.70
1390000,44.58,77.11,25.06
1392000,45,76.19,24.55
1394000,42.19,77.05,25.03
1396000,42.73,77.37,25.21
1398000,42.3,77.25,25.14
1400000,47.82,78.37,25.76
1402000,44.51,76.13,24.52
1404000,47.27,76.06,24.48
1406000,46.49,76.92,24.96
1408000,44.03,76.91,24.95
1410000,47,77.08,25.04
1412000,47.46,77.8,25.44
1414000,45.41,77.97,25.54
1416000,44.07,77.78,25.43
1418000,43.82,77.46,25.26
1420000,46.34,76.55,24.75
1422000,43.66,77.56,25.31
1424000,46,77.19,25.11
1426000,45.9,76.62,24.79
1428000,46.37,76.49,24.72
1430000,46.91,78.32,25.73
1432000,44.91,76.73,24.85
1434000,43.86,76.21,24.56
1436000,45.46,76.55,24.75
1438000,45.01,75.99,24.44
1440000,48.28,76.55,24.75
1442000,43.05,76.78,24.88
1444000,45.25,77.45,25.25
1446000,46.48,76.59,24.77
1448000,44.71,76.78,24.88
1450000,44.8,78.02,25.57
1452000,44.85,77.59,25.33
1454000,44.93,77.04,25.02
1456000,44.29,76.92,24.96
1458000,44.65,76.79,24.88
1460000,46.24,78.96,26.09
1462000,44.97,77.26,25.14
1464000,43.55,74.54,23.63
1466000,43.79,77.19,25.11
1468000,48.47,75.77,24.32
1470000,46.14,77.54,25.30
1472000,46.13,75.7,24.28
1474000,43.97,76.59,24.77
1476000,45.39,77.22,25.12
1478000,44.06,77.64,25.36
1480000,46.93,77.66,25.37
1482000,43.37,78.2,25.67
1484000,42.85,77.16,25.09
1486000,45.53,76.98,24.99
1488000,44.95,78.17,25.65
1490000,44.76,75.83,24.35
1492000,46.69,77.56,25.31
1494000,44.09,77.42,25.23
1496000,44.45,77.51,25.28
1498000,43.06,78.93,26.07
1500000,45.95,77.28,25.16
1502000,46.8,77.15,25.08
1504000,42.88,78.6,25.89
1506000,46.47,76.67,24.82
1508000,44.43,76.97,24.98
1510000,46.23,76.14,24.52
1512000,42.08,76.62,24.79
1514000,42.57,76.75,24.86
1516000,45.46,77.28,25.16
1518000,44.92,77.84,25.47
1520000,41.58,78.55,25.86
1522000,45.2,77.07,25.04
1524000,45.6,78.5,25.83
1526000,44.51,78.36,25.76
1528000,42.12,75.75,24.31
1530000,43.4,77.57,25.32
1532000,44.24,77.7,25.39
1534000,43.64,77.93,25.52
1536000,45.72,77.86,25.48
1538000,43.56,78.02,25.57
1540000,46.18,77.96,25.53
1542000,46.59,75.44,24.13
1544000,44.9,78.12,25.62
1546000,45.93,77.62,25.34
1548000,45.86,77.88,25.49
1550000,42.32,78.18,25.66
1552000,45.25,77.3,25.17
1554000,44.07,78.16,25.64
1556000,46.42,76.75,24.86
1558000,44.62,77.32,25.18
1560000,43.69,76.71,24.84
1562000,45.35,79,26.11
1564000,46.87,76.8,24.89
1566000,46.14,77.04,25.02
1568000,43.89,77.1,25.06
1570000,46.75,76.39,24.66
1572000,43.36,78.36,25.76
1574000,46.23,76.66,24.81
1576000,45.56,77.36,25.20
1578000,45.34,76.83,24.91
1580000,46.9,77.5,25.28
1582000,46.51,77.07,25.04
1584000,46.69,76.42,24.68
1586000,46.63,77.99,25.55
1588000,45.09,78.01,25.56
1590000,44.92,78.51,25.84
1592000,46.79,76.43,24.68
1594000,47.9,75.41,24.12
1596000,47.45,76.33,24.63
1598000,44.61,77.03,25.02
1600000,43.82,78.02,25.57
1602000,42.7,76.4,24.67
1604000,42.44,77.78,25.43
1606000,46.12,76.58,24.77
1608000,44.58,77.47,25.26
1610000,47.21,76.33,24.63
1612000,46.46,76.98,24.99
1614000,47.28,77.55,25.31
1616000,44.55,75.68,24.27
1618000,43.7,77.3,25.17
1620000,45.18,76.47,24.71
1622000,43.61,77.04,25.02
1624000,46.22,77.29,25.16
1626000,45.5,77.21,25.12
1628000,44.62,77.49,25.27
1630000,45.53,76.34,24.63
1632000,43.79,76.4,24.67
1634000,46.17,77.23,25.13
1636000,42.96,76.62,24.79
1638000,44.5,78.6,25.89
1640000,47.65,78.75,25.97
1642000,44.73,76.59,24.77
1644000,46.97,74.9,23.83
1646000,44.71,76.05,24.47
1648000,43.13,77.07,25.04
1650000,45.91,75.12,23.96
1652000,47.3,79.44,26.36
1654000,45.01,74.96,23.87
1656000,44.93,78.66,25.92
1658000,45.59,75.96,24.42
1660000,45.52,78.27,25.71
1662000,48.06,76.85,24.92
1664000,47.28,77.41,25.23
1666000,42.18,77.07,25.04
1668000,46.01,77.2,25.11
1670000,48.29,77.14,25.08
1672000,44.38,76.29,24.61
1674000,43.38,76.25,24.58
1676000,46.13,77.47,25.26
1678000,44.75,77,25.00
1680000,45.6,76.21,24.56
1682000,44.86,75.98,24.43
1684000,42.71,76.58,24.77
1686000,45.39,76.24,24.58
1688000,45.44,76.44,24.69
1690000,46.99,77.19,25.11
1692000,45.79,77.12,25.07
1694000,47.03,77.67,25.37
1696000,46.82,77.89,25.49
1698000,45.45,77.07,25.04
1700000,46.55,77.2,25.11
1702000,44.76,76.73,24.85
1704000,44.83,77.72,25.40
1706000,43.29,77.43,25.24
1708000,44.2,76.53,24.74
1710000,45.42,76.09,24.49
1712000,45.21,78.53,25.85
1714000,43.49,76.84,24.91
1716000,44.54,78.32,25.73
1718000,45.86,75.85,24.36
1720000,41.48,76.49,24.72
1722000,42.25,74.68,23.71
1724000,42.59,77,25.00
1726000,44.88,76.85,24.92
1728000,45.65,75.68,24.27
1730000,43.65,77.15,25.08
1732000,43.79,78.07,25.59
1734000,46.37,77.35,25.19
1736000,45.58,77.3,25.17
1738000,46.99,76.07,24.48
1740000,44.27,76.33,24.63
1742000,46.72,76.59,24.77
1744000,47.23,77.46,25.26
1746000,44.59,77.3,25.17
1748000,45.94,78.5,25.83
1750000,44.71,77.97,25.54
1752000,45.33,76.54,24.74
1754000,45.84,77.68,25.38
1756000,44.4,78.67,25.93
1758000,46.8,76.89,24.94
1760000,43.84,76.42,24.68
1762000,44.82,78.53,25.85
1764000,44.03,78.47,25.82
1766000,44.93,77.16,25.09
1768000,46.53,78.12,25.62
1770000,45.73,76.75,24.86
1772000,45.55,77.61,25.34
1774000,42.31,75.44,24.13
1776000,43.55,78.63,25.91
1778000,45.96,75.35,24.08
1780000,45.62,77.27,25.15
1782000,46.68,77.39,25.22
1784000,45.23,77.46,25.26
1786000,42.6,78.35,25.75
1788000,44.72,76.42,24.68
1790000,46.97,77.78,25.43
1792000,44.27,76.44,24.69
1794000,44.8,78.57,25.87
1796000,45.49,77.57,25.32
1798000,45.81,78.33,25.74
1800000,44.15,75.42,24.12
1802000,46.07,77.36,25.20
1804000,45.4,77.93,25.52
1806000,46.4,77.34,25.19
1808000,44.68,77.31,25.17
